bldg_id,in.sqft,in.ground_thermal_conductivity,in.vintage,in.heating_fuel,in.hvac_heating_efficiency,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_has_ducts,out.unmet_hours.cooling.hour,out.unmet_hours.heating.hour,base_heating_size,base_cooling_size,upgrade_heating_size,sqft_conditioned,year,month,day,hour,baseline.cooling.energy.kbtu.CP,baseline.heating.energy.kbtu.CP,baseline_total_elec_kwh,baseline_cooling_total_elec_kwh,baseline_cooling_elec_kwh,baseline_cooling_fans_pumps_elec_kwh,baseline_heating_elec_kwh,baseline_heating_gas_kwh,baseline_heating_propane_kwh,baseline_heating_fuel_oil_kwh,upgrade.cooling.energy.kbtu.CP,upgrade.heating.energy.kbtu.CP,upgrade_total_elec_kwh,upgrade_cooling_total_elec_kwh,upgrade_cooling_elec_kwh,upgrade_cooling_fans_pumps_elec_kwh,upgrade_heating_elec_kwh,upgrade_heating_gas_kwh,upgrade_heating_propane_kwh,upgrade_heating_fuel_oil_kwh,time_hour
36055,2678,1.1,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 15",1,Yes,19,0,68.2,39.21,66.48,2678,2018,7,2,16,24.496000000000002,0,3.356,3.004,2.616,0.388,0,0,0,0,25.213,0,3.1020000000000003,2.7460000000000004,2.136,0.61,0,0,0,0,2018-07-02 16:00:00
39948,1698,1.1,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,105.75,42,30.36,18.96,42.16,1698,2018,7,2,16,12.104,0,2.651,1.776,1.516,0.26,0,0,0,0,13.536999999999999,0,2.033,1.158,0.99,0.168,0,0,0,0,2018-07-02 16:00:00
59897,2678,1.1,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,15,80.25,58.05,38.43,59.21,2678,2018,7,2,16,29.366,0,4.413,3.425,2.8329999999999997,0.592,0,0,0,0,29.583,0,3.692,2.705,2.117,0.588,0,0,0,0,2018-07-02 16:00:00
63985,1698,1.1,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,166.75,4.75,50.07,27.13,51.53,1698,2018,7,2,16,17.847,0,3.26,1.92,1.45,0.47,0,0,0,0,15.889,0,2.8970000000000002,1.5589999999999997,1.145,0.414,0,0,0,0,2018-07-02 16:00:00
67567,1698,1.7,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,9.5,0,54.56,35.25,59.26,1698,2018,7,2,16,27.044999999999998,0,4.156000000000001,3.418,2.8179999999999996,0.6,0,0,0,0,24.787,0,2.8209999999999997,2.081,1.569,0.512,0,0,0,0,2018-07-02 16:00:00
109768,1698,2,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 10",1,Yes,12.75,8.25,53.42,25.56,54.53,1698,2018,7,2,16,10.04,0,2.131,1.385,1.125,0.26,0,0,0,0,8.834,0,1.477,0.73,0.538,0.192,0,0,0,0,2018-07-02 16:00:00
111552,2678,1.1,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,8.5,8.25,80.26,62.75,82.81,2678,2018,7,2,16,41.793,0,5.94,4.901,3.891,1.01,0,0,0,0,41.235,0,4.401,3.363,2.4,0.963,0,0,0,0,2018-07-02 16:00:00
111704,2179,1.7,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,23,8,40.32,20.49,50.07,2179,2018,7,2,16,13.722,0,2.2560000000000002,1.855,1.6469999999999998,0.208,0,0,0,0,16.921,0,1.8780000000000001,1.4769999999999999,1.1829999999999998,0.294,0,0,0,0,2018-07-02 16:00:00
115359,1698,1.7,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 15",1,Yes,0,8,46.97,35.1,53.5,1698,2018,7,2,16,19.532,0,3.23,2.237,1.838,0.399,0,0,0,0,18.825,0,2.56,1.5670000000000002,1.249,0.318,0,0,0,0,2018-07-02 16:00:00
136597,1698,1.7,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,13.5,10.75,46.37,29.09,52.09,1698,2018,7,2,16,22.298000000000002,0,3.339,2.654,2.157,0.497,0,0,0,0,19.834,0,2.335,1.6500000000000001,1.275,0.375,0,0,0,0,2018-07-02 16:00:00
138255,2179,2,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,36.75,49.25,55.58,33.67,58.42,2179,2018,7,2,16,24.242,0,4.087,3.202,2.678,0.524,0,0,0,0,26.161,0,3.407,2.525,1.959,0.5660000000000001,0,0,0,0,2018-07-02 16:00:00
141831,1698,1.1,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 15",1,Yes,2.25,43.75,44.78,28.73,46.94,1698,2018,7,2,16,22.54,0,4.947,2.274,1.7309999999999999,0.543,0,0,0,0,21.122,0,4.465,1.793,1.327,0.46599999999999997,0,0,0,0,2018-07-02 16:00:00
