bldg_id,in.sqft,in.ground_thermal_conductivity,in.vintage,in.heating_fuel,in.hvac_heating_efficiency,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_has_ducts,out.unmet_hours.cooling.hour,out.unmet_hours.heating.hour,base_heating_size,base_cooling_size,upgrade_heating_size,sqft_conditioned,year,month,day,hour,baseline.cooling.energy.kbtu.CP,baseline.heating.energy.kbtu.CP,baseline_total_elec_kwh,baseline_cooling_total_elec_kwh,baseline_cooling_elec_kwh,baseline_cooling_fans_pumps_elec_kwh,baseline_heating_elec_kwh,baseline_heating_gas_kwh,baseline_heating_propane_kwh,baseline_heating_fuel_oil_kwh,upgrade.cooling.energy.kbtu.CP,upgrade.heating.energy.kbtu.CP,upgrade_total_elec_kwh,upgrade_cooling_total_elec_kwh,upgrade_cooling_elec_kwh,upgrade_cooling_fans_pumps_elec_kwh,upgrade_heating_elec_kwh,upgrade_heating_gas_kwh,upgrade_heating_propane_kwh,upgrade_heating_fuel_oil_kwh,time_hour
36055,2678,1.1,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 15",1,Yes,19,0,68.2,39.21,66.48,2678,2018,1,7,7,0,70.028,1.1139999999999999,0.048,0.048,0,0.619,24.889646776516315,0,0,0,64.012,6.03,0,0,0,5.584,0,0,0,2018-01-07 07:00:00
39948,1698,1.1,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,105.75,42,30.36,18.96,42.16,1698,2018,1,7,7,0,25.956,0.839,0.048,0.048,0,0.23,9.221774294039145,0,0,0,22.991,2.416,0,0,0,1.855,0,0,0,2018-01-07 07:00:00
59897,2678,1.1,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,15,80.25,58.05,38.43,59.21,2678,2018,1,7,7,0,59.407,1.247,0.048,0.048,0,0.42,21.265236851696447,0,0,0,56.58,5.763999999999999,0,0,0,4.987,0,0,0,2018-01-07 07:00:00
63985,1698,1.1,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,166.75,4.75,50.07,27.13,51.53,1698,2018,1,7,7,0,38.235,0.94,0.048,0.048,0,0.247,13.696969535568979,0,0,0,36.173,3.465,0,0,0,2.8230000000000004,0,0,0,2018-01-07 07:00:00
67567,1698,1.7,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,9.5,0,54.56,35.25,59.26,1698,2018,1,7,7,0,45.783,1.638,0.048,0.048,0,0.284,16.41813442211806,0,0,0,46.001999999999995,5.256,0,0,0,3.952,0,0,0,2018-01-07 07:00:00
109768,1698,2,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 10",1,Yes,12.75,8.25,53.42,25.56,54.53,1698,2018,1,7,7,0,38.955,4.933,0.048,0.048,0,0.355,13.801888978690634,0,0,0,37.627,7.756,0,0,0,3.229,0,0,0,2018-01-07 07:00:00
111552,2678,1.1,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,8.5,8.25,80.26,62.75,82.81,2678,2018,1,7,7,0,57.035,1.173,0.048,0.048,0,0.164,20.65389059931719,0,0,0,57.923,5.086,0,0,0,4.125,0,0,0,2018-01-07 07:00:00
111704,2179,1.7,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,23,8,40.32,20.49,50.07,2179,2018,1,7,7,0,39.88,0.753,0.048,0.048,0,0.354,14.167641674265566,0,0,0,39.858000000000004,3.8,0,0,0,3.452,0,0,0,2018-01-07 07:00:00
115359,1698,1.7,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 15",1,Yes,0,8,46.97,35.1,53.5,1698,2018,1,7,7,0,47.731,1.248,0.048,0.048,0,0.272,17.2079609562322,0,0,0,50.09,5.006,0,0,0,4.079,0,0,0,2018-01-07 07:00:00
136597,1698,1.7,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,13.5,10.75,46.37,29.09,52.09,1698,2018,1,7,7,0,47.373000000000005,0.636,0.048,0.048,0,0.272,16.98757151146269,0,0,0,45.539,4.08,0,0,0,3.7699999999999996,0,0,0,2018-01-07 07:00:00
138255,2179,2,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,36.75,49.25,55.58,33.67,58.42,2179,2018,1,7,7,0,57.189,1.156,0.048,0.048,0,0.468,20.36140567128531,0,0,0,55.934,5.356,0,0,0,4.717,0,0,0,2018-01-07 07:00:00
141831,1698,1.1,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 15",1,Yes,2.25,43.75,44.78,28.73,46.94,1698,2018,1,7,7,0,45.435,0.564,0.048,0.048,0,0.192,16.402601655398936,0,0,0,44.5,3.997,0,0,0,3.6729999999999996,0,0,0,2018-01-07 07:00:00
149428,2678,1.7,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 15",1,Yes,168,29.75,70.64,46.13,68.92,2678,2018,1,7,7,0,54.196,0.88,0.048,0.048,0,0.39,19.368773956611996,0,0,0,51.818,4.234999999999999,0,0,0,3.796,0,0,0,2018-01-07 07:00:00
157675,2179,0.8,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,98.5,7,29.26,15.98,40.28,2179,2018,1,7,7,0,30.179000000000002,1.288,0.048,0.048,0,0.268,10.712040685864894,0,0,0,27.432000000000002,3.452,0,0,0,2.482,0,0,0,2018-01-07 07:00:00
179704,2678,1.1,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 10",1,Yes,386.75,32.5,35.17,26.84,46.19,2678,2018,1,7,7,0,31.512999999999998,1.0939999999999999,0.048,0.048,0,0.17099999999999999,11.330420643928283,0,0,0,31.414,3.322,0,0,0,2.448,0,0,0,2018-01-07 07:00:00
184639,1698,1.1,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,20.25,2.25,49.82,29.23,55.8,1698,2018,1,7,7,0,50.593,1.1,0.048,0.048,0,0.447,17.97580716008342,0,0,0,46.619,4.7620000000000005,0,0,0,4.159,0,0,0,2018-01-07 07:00:00
193173,1698,1.1,1990s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 15",0.6,Yes,17.25,0,41.15,17.85,46.76,1018.8,2018,1,7,7,0,34.573,0.775,0.048,0.048,0,0.304,12.283487764128349,0,0,0,31.859,3.005,0,0,0,2.585,0,0,0,2018-01-07 07:00:00
