time_hr,year,month,day,hour,interval_count.x,total_electricity_mwh_base,all_heating_electricity_mwh_base,all_cooling_electricity_mwh_base,heating_load_kbtu_base,cooling_load_kbtu_base,gas_total_mwh_base,gas_heating_mwh_base,interval_count.y,total_electricity_mwh_upg,all_heating_electricity_mwh_upg,all_cooling_electricity_mwh_upg,heating_load_kbtu_upg,cooling_load_kbtu_upg,gas_total_mwh_upg,gas_heating_mwh_upg,total_electricity_savings,heating_electricity_savings,cooling_electricity_savings,gas_total_savings,gas_heating_savings,cooling_load_ratio,heating_load_ratio,nonthermal_mwh,nonthermal_gas,cooling_mwh_scaled,heating_mwh_scaled,cooling_mwh_savings_scaled,heating_mwh_savings_scaled,total_mwh_scaled,total_mwh_savings_scaled,gas_heating_mwh_scaled,gas_total_mwh_scaled
2018-01-01,2018,1,1,0,400,8.3581e-4,0,4.800000000000001e-5,3651.324,0,0.01318295804701532,0.013028345473235264,400,0.00321168,0.00241125,0,3477.815,0,1.5459498951584722e-4,0,-0.0023758700000000004,-0.00241125,4.800000000000001e-5,0.013028363057499473,0.013028345473235264,0,0.9524805248726216,7.8781e-4,1.546125737800566e-4,0,0,0,-0.00241125,7.8781e-4,-0.00241125,0.012409245334568967,0.012563857908349024
2018-01-01 01:00:00,2018,1,1,1,400,7.8672e-4,0,4.800000000000001e-5,3711.856,0,0.013448533189383985,0.013252307454350173,400,0.00313729,0.00239188,0,3521.113,0,2.020050965376076e-4,0,-0.00235057,-0.00239188,4.800000000000001e-5,0.013246528092846377,0.013252307454350173,0,0.9486125000538813,7.3872e-4,1.9622573503381112e-4,0,0,0,-0.00239188,7.3872e-4,-0.00239188,0.012571304505753805,0.012767530240787616
2018-01-01 02:00:00,2018,1,1,2,400,8.3223e-4,0,4.800000000000001e-5,3902.683,0,0.014142071223393041,0.013961653741884319,400,0.00334351,0.00254579,0,3727.652,0,1.7893161118294856e-4,0,-0.0025112800000000003,-0.00254579,4.800000000000001e-5,0.013963139612210093,0.013961653741884319,0,0.9551511101465325,7.8423e-4,1.804174815087222e-4,0,0,0,-0.00254579,7.8423e-4,-0.00254579,0.013335489071042298,0.01351590655255102
2018-01-01 03:00:00,2018,1,1,3,400,7.9759e-4,0,4.800000000000001e-5,4026.781,0,0.014622262310448823,0.01441126286276763,400,0.00342479,0.00265555,0,3862.691,0,2.13385046192395e-4,0,-0.0026272,-0.00265555,4.800000000000001e-5,0.014408877264256428,0.01441126286276763,0,0.9592503292332014,7.495900000000001e-4,2.109994476811941e-4,0,0,0,-0.00265555,7.495900000000001e-4,-0.00265555,0.013824008645776056,0.01403500809345725
2018-01-01 04:00:00,2018,1,1,4,400,8.0906e-4,0,4.800000000000001e-5,4115.73,0,0.015031729486850645,0.01473787298621036,400,0.00351955,0.00273801,0,3956.757,0,2.8842003228858907e-4,0,-0.0027104900000000003,-0.00273801,4.800000000000001e-5,0.014743309454562056,0.01473787298621036,0,0.9613742884008427,7.6106e-4,2.9385650064028476e-4,0,0,0,-0.00273801,7.6106e-4,-0.00273801,0.014168612154659989,0.014462468655300273
2018-01-01 05:00:00,2018,1,1,5,400,9.1315e-4,0,4.800000000000001e-5,4216.319,0,0.015563735539112876,0.015099581301016919,400,0.00372273,0.00282825,0,4067.38,0,4.648957079034944e-4,0,-0.00280958,-0.00282825,4.800000000000001e-5,0.015098839831209382,0.015099581301016919,0,0.9646755855047969,8.651500000000001e-4,4.641542380959575e-4,0,0,0,-0.00282825,8.651500000000001e-4,-0.00282825,0.01456619743243578,0.015030351670531737
2018-01-01 06:00:00,2018,1,1,6,400,0.00117973,0,4.800000000000001e-5,4262.58,0,0.0158340056800257,0.015246380600066185,400,0.00403642,0.00287177,0,4107.514,0,5.881115779360018e-4,0,-0.00285669,-0.00287177,4.800000000000001e-5,0.015245894102089699,0.015246380600066185,0,0.9636215625278588,0.0011317299999999998,5.87625079959516e-4,0,0,0,-0.00287177,0.0011317299999999998,-0.00287177,0.01469174109673021,0.015279366176689726
2018-01-01 07:00:00,2018,1,1,7,400,0.0012768,0,4.800000000000001e-5,4220.745,0,0.01581627488028028,0.01510688756279631,400,0.00411081,0.00285091,0,4049.387,0,7.147974094393483e-4,0,-0.0028340100000000005,-0.00285091,4.800000000000001e-5,0.015101477470840933,0.01510688756279631,0,0.9594010062204659,0.0012288,7.093873174839702e-4,0,0,0,-0.00285091,0.0012288,-0.00285091,0.014493563128606222,0.015202950446090192
2018-01-01 08:00:00,2018,1,1,8,400,0.00143861,0,4.800000000000001e-5,3911.036,0,0.014717636428814969,0.014018899314021059,400,0.00409405,0.00267234,0,3740.367,0,6.925445230811715e-4,0,-0.0026554400000000002,-0.00267234,4.800000000000001e-5,0.014025091905733797,0.014018899314021059,0,0.9563622017286468,0.00139061,6.987371147939101e-4,0,0,0,-0.00267234,0.00139061,-0.00267234,0.013407145413769396,0.014105882528563306
2018-01-01 09:00:00,2018,1,1,9,400,0.00149961,0,4.800000000000001e-5,3595.277,0,0.013740546272992886,0.012888491958549079,400,0.00395167,0.00247183,0,3419.092,0,8.581472619926874e-4,0,-0.00245206,-0.00247183,4.800000000000001e-5,0.012882399011000198,0.012888491958549079,0,0.9509954309501049,0.0014516099999999999,8.520543144438075e-4,0,0,0,-0.00247183,0.0014516099999999999,-0.00247183,0.012256896964417343,0.01310895127886115
