bldg_id,in.sqft,in.ground_thermal_conductivity,in.vintage,in.heating_fuel,in.hvac_heating_efficiency,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_has_ducts,out.unmet_hours.cooling.hour,out.unmet_hours.heating.hour,base_heating_size,base_cooling_size,upgrade_heating_size,sqft_conditioned,year,month,day,hour,baseline.cooling.energy.kbtu.CP,baseline.heating.energy.kbtu.CP,baseline_total_elec_kwh,baseline_cooling_total_elec_kwh,baseline_cooling_elec_kwh,baseline_cooling_fans_pumps_elec_kwh,baseline_heating_elec_kwh,baseline_heating_gas_kwh,baseline_heating_propane_kwh,baseline_heating_fuel_oil_kwh,upgrade.cooling.energy.kbtu.CP,upgrade.heating.energy.kbtu.CP,upgrade_total_elec_kwh,upgrade_cooling_total_elec_kwh,upgrade_cooling_elec_kwh,upgrade_cooling_fans_pumps_elec_kwh,upgrade_heating_elec_kwh,upgrade_heating_gas_kwh,upgrade_heating_propane_kwh,upgrade_heating_fuel_oil_kwh,time_hour
137818,1698,1.4,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,0,60.5,73.75,37.37,73.75,1698,2018,1,7,7,0,75.478,22.89,0.048,0.048,0,22.12,0,0,0,0,71.199,6.766,0,0,0,6.048,0,0,0,2018-01-07 07:00:00
138315,2179,1.1,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",1,Yes,0,42.25,100.14,72.93,100.97,2179,2018,1,7,7,0,99.785,30.265,0.048,0.048,0,29.235,0,0,0,0,97.725,8.364,0,0,0,7.382,0,0,0,2018-01-07 07:00:00
154450,2678,1.4,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,106,0,101.88,52.92,99.05,2678,2018,1,7,7,0,95.953,31.182,0.048,0.048,0,28.116999999999997,0,0,0,0,93.303,10.708,0,0,0,7.696,0,0,0,2018-01-07 07:00:00
162488,1698,1.1,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,307.75,0,118.68,48.63,119.22,1698,2018,1,7,7,0,92.779,27.607,0.048,0.048,0,27.186,0,0,0,0,90.701,8.549,0,0,0,7.784999999999999,0,0,0,2018-01-07 07:00:00
165145,2678,1.7,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,0,20.5,91.48,62.78,89.86,2678,2018,1,7,7,0,93.366,28.5,0.048,0.048,0,27.3,0,0,0,0,87.082,8.117,0,0,0,6.957000000000001,0,0,0,2018-01-07 07:00:00
169759,1698,1.4,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,3.75,61.5,54.34,28.97,56.82,1698,2018,1,7,7,0,55.516,18.094,0.048,0.048,0,16.3,0,0,0,0,55.763,6.18,0,0,0,4.427,0,0,0,2018-01-07 07:00:00
172710,2179,1.7,1990s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",0.6,Yes,0,26.75,38.51,22.01,47.87,1307.3999999999999,2018,1,7,7,0,39.257,13.402000000000001,0.048,0.048,0,11.540000000000001,0,0,0,0,39.071,5.237,0,0,0,3.423,0,0,0,2018-01-07 07:00:00
180462,1698,1.1,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,73.5,2.5,54.84,33.9,58.33,1698,2018,1,7,7,0,36.363,11.756,0.048,0.048,0,10.657,0,0,0,0,33.802,3.5069999999999997,0,0,0,2.46,0,0,0,2018-01-07 07:00:00
184624,2678,1.1,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,0,20.5,34.74,25.97,44.32,2678,2018,1,7,7,0,34.635999999999996,10.696,0.048,0.048,0,10.299999999999999,0,0,0,0,42.59,4.152,0,0,0,3.8049999999999997,0,0,0,2018-01-07 07:00:00
193570,1698,1.7,1990s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,546.5,9.25,20.99,15.29,31.12,1698,2018,1,7,7,0,21.267,7.151,0.048,0.048,0,6.24,0,0,0,0,24.362000000000002,2.94,0,0,0,2.081,0,0,0,2018-01-07 07:00:00
196444,2179,2,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",1,Yes,11.75,0,40,23.91,49.46,2179,2018,1,7,7,0,40.707,12.891,0.048,0.048,0,11.93,0,0,0,0,40.708,4.447,0,0,0,3.537,0,0,0,2018-01-07 07:00:00
197448,2179,1.1,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 10",1,Yes,26.75,19.25,60.01,40.22,61.88,2179,2018,1,7,7,0,30.87,10.61,0.048,0.048,0,9.044,0,0,0,0,29.467,3.564,0,0,0,2.0469999999999997,0,0,0,2018-01-07 07:00:00
201463,2678,1.1,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 10",1,Yes,2.25,5.75,66.5,36.05,64.89,2678,2018,1,7,7,0,67.685,20.151,0.048,0.048,0,19.816000000000003,0,0,0,0,61.722,5.475,0,0,0,5.19,0,0,0,2018-01-07 07:00:00
212499,2179,1.7,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 10",1,Yes,646,43.5,74.18,21.53,74.18,2179,2018,1,7,7,0,64.893,20.46,0.048,0.048,0,19.018,0,0,0,0,65.02,6.945,0,0,0,5.551,0,0,0,2018-01-07 07:00:00
