time_hr,cooling_kw_base,cooling_kw_upg,cooling_kw_scaled
2018-07-02,1.15092,0.9258,1.1470857786699402
2018-07-02 01:00:00,1.0415800000000002,0.82838,1.0257300198619
2018-07-02 02:00:00,0.9647,0.76244,0.9402064052309156
2018-07-02 03:00:00,0.8619199999999999,0.6788500000000001,0.8333311370842716
2018-07-02 04:00:00,0.77439,0.6119,0.7518907704653812
2018-07-02 05:00:00,0.74156,0.5913999999999999,0.7234911357087993
2018-07-02 06:00:00,0.72373,0.57427,0.7126543369493294
2018-07-02 07:00:00,0.81646,0.6339400000000001,0.806835929381834
2018-07-02 08:00:00,0.99265,0.74371,0.9916923359752151
2018-07-02 09:00:00,1.26911,0.9132899999999999,1.2774859590093899
2018-07-02 10:00:00,1.57763,1.09453,1.59411172049949
2018-07-02 11:00:00,1.8181,1.24478,1.84899758202655
2018-07-02 12:00:00,2.04147,1.39337,2.08783041701984
2018-07-02 13:00:00,2.22464,1.54259,2.3145289808977
2018-07-02 14:00:00,2.3222199999999997,1.6403800000000002,2.45007579749399
2018-07-02 15:00:00,2.39536,1.74023,2.5632528737955997
2018-07-02 16:00:00,2.4365799999999997,1.829,2.6596083060273203
2018-07-02 17:00:00,2.4439100000000002,1.8865699999999999,2.70136201413862
2018-07-02 18:00:00,2.36968,1.86823,2.6280909601019498
2018-07-02 19:00:00,2.22351,1.77509,2.4232067201945102
2018-07-02 20:00:00,1.88573,1.5254999999999999,2.00196331343556
2018-07-02 21:00:00,1.66517,1.37478,1.74041856571564
2018-07-02 22:00:00,1.4774,1.20632,1.51452388848971
2018-07-02 23:00:00,1.3237999999999999,1.06806,1.3303853316274699
