time_hr,heating_kw_base,heating_kw_upg,heating_kw_scaled
2018-01-07,13.656039999999999,3.40614,13.35628416881766
2018-01-07 01:00:00,14.20697,3.52391,13.88980498891681
2018-01-07 02:00:00,14.6513,3.60384,14.283921396783601
2018-01-07 03:00:00,14.81605,3.6350800000000003,14.41075696205487
2018-01-07 04:00:00,15.375990000000002,3.75062,14.92865980085155
2018-01-07 05:00:00,15.622399999999999,3.82338,15.20012312621665
2018-01-07 06:00:00,15.80639,3.8624699999999996,15.37347095022389
2018-01-07 07:00:00,15.835280000000001,3.8715,15.395101052628519
2018-01-07 08:00:00,14.82315,3.6672,14.37702201861724
2018-01-07 09:00:00,13.109020000000001,3.35564,12.82990546259552
2018-01-07 10:00:00,11.33047,2.96419,11.11002555896887
2018-01-07 11:00:00,10.271040000000001,2.70545,10.07237251650512
2018-01-07 12:00:00,9.27738,2.46684,9.12205870480784
2018-01-07 13:00:00,8.334660000000001,2.22128,8.18755353621696
2018-01-07 14:00:00,7.73742,2.0554,7.59489505615149
2018-01-07 15:00:00,7.426010000000001,1.9703799999999998,7.29270802349078
2018-01-07 16:00:00,7.60787,2.0084500000000003,7.47284561899537
2018-01-07 17:00:00,8.25311,2.15472,8.100069364255429
2018-01-07 18:00:00,8.94666,2.31962,8.778253809353389
2018-01-07 19:00:00,9.4483,2.4339600000000003,9.26438610027444
2018-01-07 20:00:00,9.62672,2.47626,9.435722909772549
2018-01-07 21:00:00,9.73703,2.50022,9.543980662839289
2018-01-07 22:00:00,10.20366,2.6077399999999997,9.997858974871969
2018-01-07 23:00:00,10.61524,2.7053200000000004,10.39508431476725
