bldg_id,in.sqft,in.ground_thermal_conductivity,in.vintage,in.heating_fuel,in.hvac_heating_efficiency,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_has_ducts,out.unmet_hours.cooling.hour,out.unmet_hours.heating.hour,base_heating_size,base_cooling_size,upgrade_heating_size,sqft_conditioned,year,month,day,hour,baseline.cooling.energy.kbtu.CP,baseline.heating.energy.kbtu.CP,baseline_total_elec_kwh,baseline_cooling_total_elec_kwh,baseline_cooling_elec_kwh,baseline_cooling_fans_pumps_elec_kwh,baseline_heating_elec_kwh,baseline_heating_gas_kwh,baseline_heating_propane_kwh,baseline_heating_fuel_oil_kwh,upgrade.cooling.energy.kbtu.CP,upgrade.heating.energy.kbtu.CP,upgrade_total_elec_kwh,upgrade_cooling_total_elec_kwh,upgrade_cooling_elec_kwh,upgrade_cooling_fans_pumps_elec_kwh,upgrade_heating_elec_kwh,upgrade_heating_gas_kwh,upgrade_heating_propane_kwh,upgrade_heating_fuel_oil_kwh,time_hour
5797,2179,1.1,1990s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,3.5,6,45.44,22.2,51.72,2179,2018,7,2,16,14.429,0,2.686,1.767,1.64,0.127,0,0,0,0,14.483,0,2.29,1.372,1.0670000000000002,0.305,0,0,0,0,2018-07-02 16:00:00
8533,1698,1.4,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",0.8,Yes,32.75,17.75,49.7,20.16,54.77,1358.4,2018,7,2,16,15.589,0,3.299,1.427,1.303,0.124,0,0,0,0,17.892,0,3.416,1.53,1.193,0.33699999999999997,0,0,0,0,2018-07-02 16:00:00
14864,2678,1.1,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,969.25,29.5,57.94,30.52,58.93,2678,2018,7,2,16,23.354,0,3.217,2.6039999999999996,2.352,0.252,0,0,0,0,28.47,0,3.464,2.8520000000000003,2.243,0.609,0,0,0,0,2018-07-02 16:00:00
22529,2678,1.4,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,212.25,1,75.21,44.04,73.46,2678,2018,7,2,16,33.604,0,5.724,4.041,3.505,0.536,0,0,0,0,40.092999999999996,0,5.822,4.138,3.052,1.086,0,0,0,0,2018-07-02 16:00:00
25228,2179,1.1,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,107.25,0,63.75,39.66,61.38,2179,2018,7,2,16,29.394,0,3.597,3.1799999999999997,2.7640000000000002,0.416,0,0,0,0,27.079,0,2.949,2.532,1.983,0.549,0,0,0,0,2018-07-02 16:00:00
28148,2678,1.1,1980s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",1,Yes,18.25,7.25,24.06,17.33,35.14,2678,2018,7,2,16,7.361,0,1.204,0.734,0.631,0.10300000000000001,0,0,0,0,7.357,0,0.957,0.486,0.425,0.061,0,0,0,0,2018-07-02 16:00:00
40768,2179,1.4,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,52.5,0,61.06,32.14,61.25,2179,2018,7,2,16,22.198,0,3.292,2.7489999999999997,2.417,0.332,0,0,0,0,25.287,0,3.063,2.524,1.891,0.633,0,0,0,0,2018-07-02 16:00:00
41606,1698,1.1,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,1108,39.5,35.57,15.57,43.77,1698,2018,7,2,16,13.161999999999999,0,3.133,1.422,1.226,0.196,0,0,0,0,19.787,0,3.542,1.8329999999999997,1.439,0.394,0,0,0,0,2018-07-02 16:00:00
46199,1698,1.1,1990s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 10",1,Yes,1,22.75,63.25,33.18,61.27,1698,2018,7,2,16,20.746000000000002,0,3.382,3.033,2.68,0.353,0,0,0,0,18.869,0,1.9420000000000002,1.5939999999999999,1.17,0.424,0,0,0,0,2018-07-02 16:00:00
54677,1698,1.1,1990s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,0.25,1,24.59,18.08,35.63,1698,2018,7,2,16,7.165,0,1.883,0.906,0.794,0.112,0,0,0,0,7.166,0,1.488,0.511,0.444,0.067,0,0,0,0,2018-07-02 16:00:00
