scenario,elec_heating_mwh,elec_cooling_mwh,gas_heating_mwh
Baseline,4.3511498699999995,4.03582943,11.20406336854027
Baseline (Scaled Up),4.328976924773287,4.019358456208131,11.152642234998927
Upgrade,4.64738,3.09193949,0
