bldg_id,in.sqft,in.ground_thermal_conductivity,in.vintage,in.heating_fuel,in.hvac_heating_efficiency,in.hvac_cooling_efficiency,in.hvac_cooling_partial_space_conditioning,in.hvac_has_ducts,out.unmet_hours.cooling.hour,out.unmet_hours.heating.hour,base_heating_size,base_cooling_size,upgrade_heating_size,sqft_conditioned,year,month,day,hour,baseline.cooling.energy.kbtu.CP,baseline.heating.energy.kbtu.CP,baseline_total_elec_kwh,baseline_cooling_total_elec_kwh,baseline_cooling_elec_kwh,baseline_cooling_fans_pumps_elec_kwh,baseline_heating_elec_kwh,baseline_heating_gas_kwh,baseline_heating_propane_kwh,baseline_heating_fuel_oil_kwh,upgrade.cooling.energy.kbtu.CP,upgrade.heating.energy.kbtu.CP,upgrade_total_elec_kwh,upgrade_cooling_total_elec_kwh,upgrade_cooling_elec_kwh,upgrade_cooling_fans_pumps_elec_kwh,upgrade_heating_elec_kwh,upgrade_heating_gas_kwh,upgrade_heating_propane_kwh,upgrade_heating_fuel_oil_kwh,time_hour
1874,881,1.4,1950s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 13",1,Yes,77,2,50.89,22.24,55.7,881,2018,1,7,7,0,35.293,14.896,0.048,0.048,0,10.343,0,0,0,0,35.291,7.457,0,0,0,2.9539999999999997,0,0,0,2018-01-07 07:00:00
5575,1698,1.1,1970s,Electricity,"Electric Furnace, 100% AFUE","AC, SEER 15",1,Yes,152,0,76.24,37.14,74.41,1698,2018,1,7,7,0,69.05199999999999,21.536,0.048,0.048,0,20.236,0,0,0,0,67.191,6.804,0,0,0,5.554,0,0,0,2018-01-07 07:00:00
18461,1228,0.8,1970s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 10",1,Yes,1576.25,0,32.44,14.03,39.65,1228,2018,1,7,7,0,27.506,2.956,0.048,0.048,0,0.19,8.50931852245047,0,0,0,27.506,4.992,0,0,0,2.276,0,0,0,2018-01-07 07:00:00
19754,1698,1.1,1990s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 13",1,Yes,0,0,95.9,58.65,95.74,1698,2018,1,7,7,0,94.316,2.052,0.048,0.048,0,0.63,29.19896379232867,0,0,0,93.154,8.722999999999999,0,0,0,7.349,0,0,0,2018-01-07 07:00:00
21692,1698,1.1,1960s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 15",1,Yes,0,33.5,87.98,67.88,91.21,1698,2018,1,7,7,0,89.57,0.808,0.048,0.048,0,0.48,32.228439444698935,0,0,0,88.961,6.713,0,0,0,6.436,0,0,0,2018-01-07 07:00:00
29687,3310,1.4,1980s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 10",1,Yes,247.75,6.5,122.58,57.39,122.56,3310,2018,1,7,7,0,125.825,2.82,0.048,0.048,0,0.84,38.8366059349422,0,0,0,115.14099999999999,10.940999999999999,0,0,0,9.011,0,0,0,2018-01-07 07:00:00
30984,3310,1.1,1960s,Fuel Oil,"Fuel Boiler, 80% AFUE","AC, SEER 15",1,Yes,0,20.25,113.74,117.65,116.96,3310,2018,1,7,7,0,114.339,1.028,0.048,0.048,0,0.16,0,0,40.93030566025256,0,111.346,7.726,0,0,0,6.91,0,0,0,2018-01-07 07:00:00
39211,1228,1.4,1970s,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 15",1,Yes,385.5,9.5,34.91,18.23,45.56,1228,2018,1,7,7,0,35.973,0.891,0.048,0.048,0,0.32,12.789621502315779,0,0,0,37.038,3.8569999999999998,0,0,0,3.3329999999999997,0,0,0,2018-01-07 07:00:00
41903,5587,1.7,<1940,Natural Gas,"Fuel Furnace, 80% AFUE","AC, SEER 13",1,Yes,325.25,0,143.39,76.54,104.57,5587,2018,1,7,7,0,133.202,1.574,0.048,0.048,0,0.833,47.76091309275654,0,0,0,96.795,8.123,0,0,0,7.431,0,0,0,2018-01-07 07:00:00
45119,1698,1.4,1980s,Natural Gas,"Fuel Furnace, 92.5% AFUE","AC, SEER 13",1,Yes,155.25,7,27.27,19.34,38.73,1698,2018,1,7,7,0,27.737000000000002,1.13,0.048,0.048,0,0.136,8.6409074329578,0,0,0,30.935,3.54,0,0,0,2.598,0,0,0,2018-01-07 07:00:00
