time_hr,heating_kw_base,heating_kw_upg,heating_kw_scaled
2018-01-07,3.3771,3.61746,3.33429786173564
2018-01-07 01:00:00,3.49036,3.71111,3.4544827450541398
2018-01-07 02:00:00,3.69321,3.7957099999999997,3.63324288669269
2018-01-07 03:00:00,3.74234,3.78965,3.6764632269714896
2018-01-07 04:00:00,3.87763,3.86869,3.80700672877065
2018-01-07 05:00:00,3.9413800000000005,3.97449,3.87262438152405
2018-01-07 06:00:00,4.00976,4.03571,3.94089462699565
2018-01-07 07:00:00,4.03766,4.121589999999999,3.97171800698671
2018-01-07 08:00:00,3.87243,3.9686399999999997,3.79335349397416
2018-01-07 09:00:00,3.43286,3.6735499999999996,3.40329914509064
2018-01-07 10:00:00,3.07332,3.35493,3.06520629367146
2018-01-07 11:00:00,2.7002200000000003,3.02608,2.69716915725934
2018-01-07 12:00:00,2.45326,2.82263,2.47361854547538
2018-01-07 13:00:00,2.2967999999999997,2.58638,2.31678648067589
2018-01-07 14:00:00,2.12211,2.40282,2.14012804730661
2018-01-07 15:00:00,2.06535,2.31062,2.0923892022356703
2018-01-07 16:00:00,2.1081,2.38164,2.13305772162712
2018-01-07 17:00:00,2.0636,2.5270599999999996,2.09189136185778
2018-01-07 18:00:00,2.24542,2.71695,2.2625238320020697
2018-01-07 19:00:00,2.3162,2.81533,2.33134070031926
2018-01-07 20:00:00,2.379,2.78609,2.3858962079998602
2018-01-07 21:00:00,2.44196,2.85827,2.44600151433813
2018-01-07 22:00:00,2.5622700000000003,2.9233800000000003,2.5604077033439903
2018-01-07 23:00:00,2.56798,2.9809699999999997,2.56114632877404
