time_hr,year,month,day,hour,interval_count.x,total_electricity_mwh_base,all_heating_electricity_mwh_base,all_cooling_electricity_mwh_base,heating_load_kbtu_base,cooling_load_kbtu_base,gas_total_mwh_base,gas_heating_mwh_base,interval_count.y,total_electricity_mwh_upg,all_heating_electricity_mwh_upg,all_cooling_electricity_mwh_upg,heating_load_kbtu_upg,cooling_load_kbtu_upg,gas_total_mwh_upg,gas_heating_mwh_upg,total_electricity_savings,heating_electricity_savings,cooling_electricity_savings,gas_total_savings,gas_heating_savings,cooling_load_ratio,heating_load_ratio,nonthermal_mwh,nonthermal_gas,cooling_mwh_scaled,heating_mwh_scaled,cooling_mwh_savings_scaled,heating_mwh_savings_scaled,total_mwh_scaled,total_mwh_savings_scaled,gas_heating_mwh_scaled,gas_total_mwh_scaled
2018-04-19 19:00:00,2018,4,19,19,400,0.00118944,0,8.317e-5,466.262,81.694,0.0023835001223394556,0.001659854897291608,400,0.00148378,3.3695e-4,4.942e-5,446.108,85.367,7.144222784695279e-4,0,-2.9434000000000014e-4,-3.3695e-4,3.375000000000001e-5,0.0016690778438699276,0.001659854897291608,1.0449604622126472,0.956775375218225,0.00110627,7.236452250478475e-4,8.690936164222587e-5,0,3.748936164222587e-5,-3.3695e-4,0.0011931793616422259,-2.994606383577741e-4,0.0015881082921639865,0.002311753517211834
2018-04-19 20:00:00,2018,4,19,20,400,0.00127345,0,6.521000000000001e-5,456.407,56.185,0.00233546870464893,0.0016253223330932151,400,0.00156325,3.2905e-4,3.399e-5,436.139,58.404,7.156150777251288e-4,0,-2.898e-4,-3.2905e-4,3.122000000000001e-5,0.0016198536269238014,0.0016253223330932151,1.0394945270089881,0.9555922674279755,0.00120824,7.101463715557151e-4,6.778543810625612e-5,0,3.3795438106256125e-5,-3.2905e-4,0.001276025438106256,-2.952545618937439e-4,0.0015531454535818727,0.0022632918251375878
2018-04-19 21:00:00,2018,4,19,21,400,0.00124617,0,6.279e-5,527.581,41.211,0.0024745309274456498,0.0018793475445863922,400,0.00157808,3.7817e-4,2.5830000000000002e-5,503.298,42.212,6.024193075818097e-4,0,-3.3190999999999993e-4,-3.7817e-4,3.696e-5,0.00187211161986384,0.0018793475445863922,1.02428963140909,0.9539729444388634,0.00118338,5.951833828592575e-4,6.431514595617676e-5,0,3.848514595617676e-5,-3.7817e-4,0.0012476951459561767,-3.396848540438232e-4,0.0017928467107330287,0.002388030093592286
2018-04-19 22:00:00,2018,4,19,22,400,9.5869e-4,0,5.9170000000000004e-5,605.403,20.736,0.00266338592506463,0.002157627317847022,400,0.00133773,4.2971999999999997e-4,1.519e-5,575.217,24.746,5.005946949611727e-4,0,-3.790400000000001e-4,-4.2971999999999997e-4,4.398e-5,0.002162791230103457,0.002157627317847022,1.1933834876543208,0.9501389983201272,8.9952e-4,5.057586072176076e-4,7.061250096450616e-5,0,5.542250096450616e-5,-4.2971999999999997e-4,9.701325009645062e-4,-3.742974990354938e-4,0.0020500458585273125,0.00255580446574492
2018-04-19 23:00:00,2018,4,19,23,400,7.3515e-4,0,5.3750000000000005e-5,729.94,8.547,0.002960592228036982,0.0026014688000693446,400,0.00119361,5.152000000000001e-4,6.03e-6,693.476,10.207,3.6376274300846395e-4,0,-4.5845999999999994e-4,-5.152000000000001e-4,4.7720000000000004e-5,0.002596829485028518,0.0026014688000693446,1.1942201942201942,0.9500452091952762,6.814e-4,3.591234279676373e-4,6.418933543933544e-5,0,5.815933543933544e-5,-5.152000000000001e-4,7.455893354393354e-4,-4.570406645606646e-4,0.0024715129703768647,0.002830636398344502
2018-04-20,2018,4,20,0,400,6.0311e-4,0,4.9120000000000004e-5,844.255,1.377,0.0032993882465774745,0.003008691052073647,400,0.00114347,5.9935e-4,7.4e-7,810.636,1.282,2.870074297303589e-4,0,-5.403599999999999e-4,-5.9935e-4,4.838e-5,0.0030123808168471154,0.003008691052073647,0.9310094408133625,0.9601790928096369,5.5399e-4,2.9069719450382746e-4,4.573118373275237e-5,0,4.4991183732752364e-5,-5.9935e-4,5.997211837327523e-4,-5.543588162672476e-4,0.0028888822449245465,0.003179579439428374
2018-04-20 01:00:00,2018,4,20,1,400,6.0015e-4,0,4.8030000000000006e-5,948.055,0.032,0.0035975353076850795,0.0033768820989524134,400,0.00121029,6.6999e-4,7e-8,913.114,0.124,2.1964211354057195e-4,0,-6.101399999999999e-4,-6.6999e-4,4.796000000000001e-5,0.0033778931941445076,0.0033768820989524134,3.875,0.9631445433018128,5.5212e-4,2.2065320873266604e-4,1.8611625000000004e-4,0,1.8604625000000005e-4,-6.6999e-4,7.382362500000001e-4,-4.8394374999999996e-4,0.003252425566979589,0.003473078775712255
2018-04-20 02:00:00,2018,4,20,2,400,5.9485e-4,0,4.8280000000000005e-5,1105.025,0.42,0.004145947478455552,0.003961081178101616,400,0.00131713,7.8259e-4,3.9e-7,1067.096,0.661,1.8530297624849267e-4,0,-7.2228e-4,-7.8259e-4,4.7890000000000004e-5,0.003960644502207059,0.003961081178101616,1.573809523809524,0.9656758896857537,5.465699999999999e-4,1.8486630035393584e-4,7.598352380952383e-5,0,7.559352380952382e-5,-7.8259e-4,6.225535238095237e-4,-7.069964761904761e-4,0.003825120590780771,0.004009986891134707
2018-04-20 03:00:00,2018,4,20,3,400,6.073e-4,0,4.800000000000001e-5,1178.022,0,0.004362116699814583,0.0042051947260015685,400,0.00137835,8.3058e-4,0,1136.287,0,1.6375052974802745e-4,0,-7.7105e-4,-8.3058e-4,4.800000000000001e-5,0.004198366170066556,0.0042051947260015685,0,0.9645719689445529,5.593e-4,1.5692197381301457e-4,0,0,0,-8.3058e-4,5.593e-4,-8.3058e-4,0.004056212956654583,0.004213134930467597
2018-04-20 04:00:00,2018,4,20,4,400,6.0282e-4,0,4.800000000000001e-5,1264.017,0,0.0047197425346136405,0.004513766325075199,400,0.00143517,8.9089e-4,0,1218.793,0,1.9215497786911922e-4,0,-8.323499999999999e-4,-8.9089e-4,4.800000000000001e-5,0.004527587556744522,0.004513766325075199,0,0.9642220001787949,5.5482e-4,2.0597620953844136e-4,0,0,0,-8.9089e-4,5.5482e-4,-8.9089e-4,0.004352272794303697,0.004558249003842139
2018-04-20 05:00:00,2018,4,20,5,400,6.978e-4,0,4.800000000000001e-5,1435.97,0,0.0054506676450445666,0.005144050830008984,400,0.00164622,0.00101295,0,1385.465,0,3.1465868520110814e-4,0,-9.484200000000001e-4,-0.00101295,4.800000000000001e-5,0.005136008959843458,0.005144050830008984,0,0.9648286524091728,6.498000000000001e-4,3.0661681503558243e-4,0,0,0,-0.00101295,6.498000000000001e-4,-0.00101295,0.004963127630241855,0.005269744445277437
2018-04-20 06:00:00,2018,4,20,6,400,8.9862e-4,0,4.800000000000001e-5,1496.604,0,0.005902846999213288,0.005341695029022429,400,0.0018930800000000001,0.00105589,0,1441.316,0,5.602287963198166e-4,0,-9.9446e-4,-0.00105589,4.800000000000001e-5,0.0053426182028934715,0.005341695029022429,0,0.9630576959569799,8.506200000000001e-4,5.611519701908593e-4,0,0,0,-0.00105589,8.506200000000001e-4,-0.00105589,0.0051443605071551934,0.005705512477346053
2018-04-20 07:00:00,2018,4,20,7,400,0.00102662,0,4.800000000000001e-5,1397.294,0,0.005625173883067915,0.005002682137890009,400,0.00195256,9.8994e-4,0,1343.628,0,6.218704345091401e-4,0,-9.259400000000001e-4,-9.8994e-4,4.800000000000001e-5,0.005003303448558774,0.005002682137890009,0,0.9615929074339401,9.7862e-4,6.224917451779057e-4,0,0,0,-9.8994e-4,9.7862e-4,-9.8994e-4,0.0048105436619414925,0.005433035407119398
2018-04-20 08:00:00,2018,4,20,8,400,0.00110684,0,4.800000000000001e-5,1203.345,0,0.004875720819580701,0.004293986468131647,400,0.00190002,8.5455e-4,0,1154.187,0,5.799612714745123e-4,0,-7.931800000000001e-4,-8.5455e-4,4.800000000000001e-5,0.004295759548106189,0.004293986468131647,0,0.9591488725178564,0.00105884,5.817343514490543e-4,0,0,0,-8.5455e-4,0.00105884,-8.5455e-4,0.004118572279515401,0.004700306630964456
2018-04-20 09:00:00,2018,4,20,9,400,0.00116822,0,4.894000000000001e-5,1083.749,1.177,0.0045121016813966216,0.003874229566456078,400,0.0018753,7.6758e-4,6.9e-7,1033.888,1.185,6.380186504756295e-4,0,-7.070800000000001e-4,-7.6758e-4,4.825000000000001e-5,0.003874083030920992,0.003874229566456078,1.0067969413763806,0.9539921144102554,0.00111928,6.378721149405435e-4,4.927264231096008e-5,0,4.858264231096008e-5,-7.6758e-4,0.00116855264231096,-7.189973576890399e-4,0.0036959844558141614,0.004333856570754704
